# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 15.1.0 Build 185 10/21/2015 SJ Lite Edition
# File: C:\altera_lite\15.1\Project\Tic_tac_toe.csv
# Generated on: Wed Dec 06 10:28:04 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
buttons[8],Input,PIN_Y6,3,B3_N0,PIN_Y6,2.5 V,,,,,
buttons[7],Input,PIN_AA6,3,B3_N0,PIN_AA6,2.5 V,,,,,
buttons[6],Input,PIN_Y5,3,B3_N0,PIN_Y5,2.5 V,,,,,
buttons[5],Input,PIN_AA5,3,B3_N0,PIN_AA5,2.5 V,,,,,
buttons[4],Input,PIN_Y4,3,B3_N0,PIN_Y4,2.5 V,,,,,
buttons[3],Input,PIN_AB3,3,B3_N0,PIN_AB3,2.5 V,,,,,
buttons[2],Input,PIN_Y3,3,B3_N0,PIN_Y3,2.5 V,,,,,
buttons[1],Input,PIN_AB2,3,B3_N0,PIN_AB2,2.5 V,,,,,
buttons[0],Input,PIN_AA2,3,B3_N0,PIN_AA2,2.5 V,,,,,
in_clk,Input,PIN_P11,3,B3_N0,PIN_AB11,,,,,,
lights[17],Output,PIN_Y11,4,B4_N0,PIN_Y11,2.5 V,,,,,
lights[16],Output,PIN_AB13,4,B4_N0,PIN_AB13,2.5 V,,,,,
lights[15],Output,PIN_W13,4,B4_N0,PIN_W13,2.5 V,,,,,
lights[14],Output,PIN_AA15,4,B4_N0,PIN_AA15,2.5 V,,,,,
lights[13],Output,PIN_V5,3,B3_N0,PIN_V5,2.5 V,,,,,
lights[12],Output,PIN_W7,3,B3_N0,PIN_W7,2.5 V,,,,,
lights[11],Output,PIN_W8,3,B3_N0,PIN_W8,2.5 V,,,,,
lights[10],Output,PIN_W9,3,B3_N0,PIN_W9,2.5 V,,,,,
lights[9],Output,PIN_W10,3,B3_N0,PIN_W10,2.5 V,,,,,
lights[8],Output,PIN_AB12,4,B4_N0,PIN_AB12,2.5 V,,,,,
lights[7],Output,PIN_W12,4,B4_N0,PIN_W12,2.5 V,,,,,
lights[6],Output,PIN_AA14,4,B4_N0,PIN_AA14,2.5 V,,,,,
lights[5],Output,PIN_W5,3,B3_N0,PIN_W5,2.5 V,,,,,
lights[4],Output,PIN_W6,3,B3_N0,PIN_W6,2.5 V,,,,,
lights[3],Output,PIN_V7,3,B3_N0,PIN_V7,2.5 V,,,,,
lights[2],Output,PIN_V8,3,B3_N0,PIN_V8,2.5 V,,,,,
lights[1],Output,PIN_V9,3,B3_N0,PIN_V9,2.5 V,,,,,
lights[0],Output,PIN_V10,3,B3_N0,PIN_V10,2.5 V,,,,,
reset,Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
score_board[5],Output,,,,,,,,,,
score_board[4],Output,,,,,,,,,,
score_board[3],Output,,,,,,,,,,
score_board[2],Output,,,,,,,,,,
score_board[1],Output,,,,,,,,,,
score_board[0],Output,,,,,,,,,,
score_board[0][0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
score_board[0][1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
score_board[0][2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
score_board[0][3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
score_board[0][4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
score_board[0][5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
score_board[0][6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
score_board[0][7],Output,PIN_D15,7,B7_N0,PIN_D15,2.5 V,,,,,
score_board[1][0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
score_board[1][1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
score_board[1][2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
score_board[1][3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
score_board[1][4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
score_board[1][5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
score_board[1][6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
score_board[1][7],Output,PIN_A16,7,B7_N0,PIN_A16,2.5 V,,,,,
score_board[2][0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
score_board[2][1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
score_board[2][2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
score_board[2][3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
score_board[2][4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
score_board[2][5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
score_board[2][6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
score_board[2][7],Output,PIN_A19,7,B7_N0,PIN_A19,2.5 V,,,,,
score_board[3][0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
score_board[3][1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
score_board[3][2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
score_board[3][3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
score_board[3][4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
score_board[3][5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
score_board[3][6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
score_board[3][7],Output,PIN_D22,6,B6_N0,PIN_D22,2.5 V,,,,,
score_board[4][0],Output,PIN_F18,6,B6_N0,PIN_F18,2.5 V,,,,,
score_board[4][1],Output,PIN_E20,6,B6_N0,PIN_E20,2.5 V,,,,,
score_board[4][2],Output,PIN_E19,6,B6_N0,PIN_E19,2.5 V,,,,,
score_board[4][3],Output,PIN_J18,6,B6_N0,PIN_J18,2.5 V,,,,,
score_board[4][4],Output,PIN_H19,6,B6_N0,PIN_H19,2.5 V,,,,,
score_board[4][5],Output,PIN_F19,6,B6_N0,PIN_F19,2.5 V,,,,,
score_board[4][6],Output,PIN_F20,6,B6_N0,PIN_F20,2.5 V,,,,,
score_board[4][7],Output,PIN_F17,6,B6_N0,PIN_F17,2.5 V,,,,,
score_board[5][0],Output,PIN_J20,6,B6_N0,PIN_J20,2.5 V,,,,,
score_board[5][1],Output,PIN_K20,6,B6_N0,PIN_K20,2.5 V,,,,,
score_board[5][2],Output,PIN_L18,6,B6_N0,PIN_L18,2.5 V,,,,,
score_board[5][3],Output,PIN_N18,6,B6_N0,PIN_N18,2.5 V,,,,,
score_board[5][4],Output,PIN_M20,6,B6_N0,PIN_M20,2.5 V,,,,,
score_board[5][5],Output,PIN_N19,6,B6_N0,PIN_N19,2.5 V,,,,,
score_board[5][6],Output,PIN_N20,6,B6_N0,PIN_N20,2.5 V,,,,,
score_board[5][7],Output,PIN_L19,6,B6_N0,PIN_L19,2.5 V,,,,,
